Latitude,Longitude,Elevation
-47.25,-64.25,-106.6656
-46.75,-63.25,-109.36724
-46.75,-62.75,-110.34144
-46.25,-62.25,-107.82506
-47.25,-63.75,-109.904976
-47.25,-62.75,-114.35393
-47.25,-63.25,-112.17798
-47.25,-62.25,-126.02889
-46.75,-62.25,-118.340164
-46.75,-61.75,-121.48871
-47.25,-61.25,-132.03682
-46.75,-60.75,-208.64325
-47.75,-61.25,-165.68037
-48.25,-61.25,-175.99297
-48.25,-60.75,-297.95874
-47.75,-60.75,-351.37973
-45.75,-62.25,-104.26926
-46.75,-63.75,-105.2275
-46.25,-63.75,-101.635216
-47.25,-60.75,-322.5366
-46.25,-61.25,-117.91654
-46.25,-60.75,-144.59099
-45.75,-60.75,-128.2727
-45.25,-60.25,-195.43436
-44.75,-60.75,-112.20411
-44.75,-60.25,-149.81244
-46.25,-62.75,-102.194786
-45.75,-62.75,-97.77567
-45.25,-63.25,-100.48504
-47.75,-62.75,-124.66919
-47.75,-64.25,-107.03021
-47.75,-61.75,-130.81485
-45.25,-62.25,-100.37903
-42.25,-58.75,-190.75854
-43.25,-60.75,-94.10802
-43.25,-61.25,-88.955925
-43.75,-61.25,-98.20982
-45.25,-61.75,-103.030205
-44.75,-63.75,-92.68372
-44.75,-64.25,-89.27095
-45.25,-62.75,-99.47057
-44.75,-62.25,-98.45787
-44.75,-61.75,-102.42054
-45.75,-63.25,-100.96457
-45.25,-63.75,-96.84122
-45.75,-64.25,-97.47565
-45.25,-64.25,-94.34485
-46.25,-63.25,-103.40455
-44.25,-63.75,-85.1708
-44.75,-63.25,-97.51512
-44.25,-59.75,-743.88043
-44.25,-60.25,-122.65316
-42.25,-58.25,-594.3594
-41.75,-57.75,-419.7098
-41.25,-57.75,-124.37204
-41.25,-57.25,-442.6812
-40.25,-56.75,-165.34297
-40.75,-56.75,-569.6697
-40.25,-56.25,-581.71967
-39.75,-56.25,-171.69498
-42.75,-58.75,-687.53345
-43.25,-59.25,-630.3367
-42.25,-60.25,-86.62299
-41.75,-58.75,-86.769356
-42.75,-60.25,-93.878555
-42.75,-59.75,-98.52729
-43.25,-60.25,-99.27672
-42.75,-60.75,-88.59119
-43.25,-59.75,-138.05151
-42.25,-59.75,-90.75796
-41.75,-59.75,-80.332596
-41.75,-59.25,-84.1589
-42.25,-59.25,-95.23493
-40.25,-59.25,-78.856575
-40.75,-60.25,-67.87078
-41.25,-60.25,-73.872826
-40.75,-59.75,-77.3374
-39.75,-58.25,-86.018005
-39.75,-58.75,-79.29005
-44.75,-62.75,-98.29228
-44.25,-62.75,-92.857086
-44.75,-59.75,-929.08167
-41.75,-58.25,-158.45442
-42.75,-59.25,-187.51848
-52.75,-64.75,-168.48201
-52.75,-64.25,-234.86479
-53.25,-64.25,-232.6269
-53.25,-63.75,-373.96408
-52.75,-63.75,-289.67212
-44.25,-62.25,-95.77643
-43.25,-61.75,-85.56283
-42.25,-60.75,-81.395004
-41.75,-57.25,-1075.3914
-40.75,-57.25,-140.59903
-53.25,-64.75,-153.43404
-43.75,-61.75,-92.968124
-47.75,-62.25,-137.19823
-47.25,-61.75,-126.27937
-46.75,-61.25,-123.79907
-40.25,-59.75,-69.17153
-40.75,-59.25,-83.706665
-39.25,-58.25,-71.583084
-44.25,-61.75,-100.77084
-45.75,-61.75,-102.39551
-47.75,-63.75,-109.669266
-47.75,-63.25,-112.88043
-39.25,-57.75,-78.78865
-44.25,-60.75,-109.06026
-41.25,-58.25,-86.59845
-43.75,-62.25,-89.91566
-43.25,-62.25,-83.37441
-42.75,-61.25,-84.3369
-50.25,-63.25,-144.44566
-43.75,-60.75,-102.82066
-43.75,-59.75,-352.5973
-41.75,-60.25,-76.4623
-48.75,-60.75,-234.89378
-43.75,-60.25,-107.99073
-52.25,-63.75,-224.89427
-52.25,-64.25,-195.1049
-41.25,-60.75,-64.99679
-39.25,-58.75,-59.8165
-48.75,-61.25,-168.58131
-49.25,-61.25,-167.01044
-42.75,-61.75,-81.28735
-49.75,-62.75,-144.0575
-45.25,-60.75,-116.96611
-44.75,-61.25,-107.06472
-46.25,-64.25,-100.81918
-45.25,-61.25,-108.877945
-48.25,-64.75,-102.244026
-45.75,-63.75,-99.87413
-44.25,-63.25,-89.41178
-47.25,-64.75,-95.260345
-48.25,-62.25,-140.74533
-48.25,-61.75,-145.01373
-49.25,-64.75,-113.13006
-49.25,-64.25,-119.25923
-49.25,-63.75,-129.69757
-49.25,-63.25,-137.77652
-49.25,-62.75,-141.76924
-49.25,-61.75,-153.70747
-48.75,-62.25,-142.91748
-49.25,-65.25,-106.3203
-48.75,-64.25,-113.11033
-48.75,-63.75,-121.9683
-48.75,-63.25,-136.77702
-48.75,-62.75,-138.49666
-45.75,-61.25,-109.43038
-44.25,-61.25,-105.386566
-42.25,-61.25,-77.54103
-41.75,-61.25,-62.39278
-41.75,-61.75,-58.270206
-46.25,-61.75,-109.34062
-46.75,-64.25,-104.80584
-43.75,-63.25,-79.31021
-43.75,-62.75,-84.84233
-43.25,-62.75,-79.33064
-42.75,-62.25,-78.981735
-42.25,-62.25,-68.71491
-41.75,-62.25,-53.817753
-48.25,-62.75,-133.79419
-40.75,-58.75,-87.68884
-39.75,-60.25,-48.89728
-46.25,-60.25,-370.49762
-45.75,-60.25,-277.95807
-43.75,-59.25,-1259.8938
-40.25,-60.75,-47.485424
-40.25,-60.25,-58.34145
-41.25,-59.25,-83.35277
-41.25,-58.75,-84.16352
-39.25,-56.75,-89.20429
-39.25,-56.25,-93.97234
-38.75,-56.75,-82.28226
-42.25,-61.75,-73.34438
-39.75,-57.75,-90.07397
-40.75,-58.25,-88.91786
-40.25,-58.25,-91.43034
-40.25,-57.75,-93.886055
-39.75,-59.25,-70.441086
-40.25,-58.75,-86.43993
-48.25,-64.25,-107.1805
-48.25,-63.75,-111.46669
-48.25,-63.25,-122.42098
-46.75,-65.25,-87.95274
